image_id,subpath,simulation,response
13372-533,13372-533.jpg,1,The woman in the image is a beautiful black woman with curly hair and dark brown eyes. She has a serious expression and is looking at the camera. 
13372-533,13372-533.jpg,2,"The woman in the image has dark hair and is staring at the camera. She has a serious expression on her face, suggesting that she might be deep in thought or focused on something important. "
13372-533,13372-533.jpg,3,A woman with curly dark hair and brown eyes stares into the distance. Her lips are slightly parted and her nose is in the center of her face. 
13372-533,13372-533.jpg,4,"A woman with curly hair and dark skin stares intently at the camera. Her lips are slightly parted and her eyes are wide open, giving off an air of confidence and determination. "
13372-533,13372-533.jpg,5,The woman in the image has curly hair and is wearing lipstick. She appears to be staring off to the side with a serious expression on her face. 
13372-533,13372-533.jpg,6,A woman with curly black hair looks at the camera with a smile. She is wearing lipstick and her eyes are looking directly at the lens. 
13372-533,13372-533.jpg,7,A woman with curly hair and a serious expression stares into the camera. Her eyes are full of determination and her lips are pursed in a tight line. 
13372-533,13372-533.jpg,8,"A woman with curly hair and dark skin looks directly into the camera. Her eyes are calm, and her expression is neutral. She seems confident and poised, as if she is ready for whatever comes next. "
13372-533,13372-533.jpg,9,A woman with curly hair and brown eyes stares at the camera. She has a serious expression on her face. 
13372-533,13372-533.jpg,10,A beautiful woman with curly hair and a smirk on her face stares into the camera. 
13372-533,13372-533.jpg,11,"A woman with curly black hair looks at the camera with a slight smile. She has a serious expression on her face, suggesting she is deep in thought. "
13372-533,13372-533.jpg,12,"A woman with curly hair and dark skin looks into the camera. Her eyes are dark, and she has a slight smile. She appears to be of African descent. "
13372-533,13372-533.jpg,13,A beautiful woman with curly black hair is looking at the camera. Her eyes are brown and she has a pink lipstick on. 
13372-533,13372-533.jpg,14,A woman with curly black hair and dark eyes looks at the camera with a slight smile. 
13372-533,13372-533.jpg,15,The person in the image has dark curly hair and a serious expression. They might be deep in thought or focused on something important. 
13372-533,13372-533.jpg,16,The woman in the image has curly black hair and brown eyes. She is looking off to the side with a slight smile. 
13372-533,13372-533.jpg,17,The woman in the image has curly hair and is looking off to the side with a serious expression on her face. 
13372-533,13372-533.jpg,18,A beautiful woman with curly black hair and a cute nose. 
13372-533,13372-533.jpg,19,"The woman in the image is staring off into the distance, her curly hair framing her face. She is wearing lipstick and has a serious expression on her face, as if she is deeply contemplating something. "
13372-533,13372-533.jpg,20,A woman with dark hair and black eyes is looking at the camera. 
13372-533,13372-533.jpg,21,"A woman with curly hair and dark eyes stares off into the distance. She appears to be deep in thought, perhaps contemplating a difficult decision or lost in a daydream. "
13372-533,13372-533.jpg,22,A woman with curly hair stares at the camera. She is wearing lipstick and her eyes are half closed. 
